,Rating,Location,Rating_Submit_Dt
1547,4,"Defiance, OH",3 years ago
1548,5,South Carolina,3 years ago
1549,5,Bergenfield,3 years ago
1550,5,United States,3 years ago
1551,5,Homestead,3 years ago
1552,5,"Blountstown , FL",3 years ago
1553,5,"Winnipeg , MB",3 years ago
1554,5,Oakville,3 years ago
1555,4,"Parrish, FL",3 years ago
1556,5,"Wasilla, AK",3 years ago
1557,5,"Harrisburg, OR",3 years ago
1558,5,San Antonio,3 years ago
1559,5,New York City,3 years ago
1560,5,United States of America,3 years ago
1561,5,"Adamsburg, PA",3 years ago
1562,5,"Houston, TX",3 years ago
1563,4,"Mill Creek, WA",3 years ago
1564,5,"Framingham, MA",3 years ago
1565,4,"Port St Lucie, FL",3 years ago
1566,5,"Commack, NY",3 years ago
1567,5,staten island,3 years ago
1568,4,"Pendleton, OR",3 years ago
1569,5,"China, Maine",3 years ago
1570,5,"Rockwall, TX",3 years ago
1571,4,"White Bear Lk, MN",3 years ago
1572,4,"Lecheria, Anzoategui",3 years ago
1573,5,"Los Angles, CA",3 years ago
1574,4,"Quebec, QC",3 years ago
1575,5,"Conestoga, PA",3 years ago
1576,3,mississauga,3 years ago
1577,5,"Spearfish, SD",3 years ago
1578,4,"Dexter, MI",3 years ago
1579,5,"Medina, NY",3 years ago
1580,5,Keizer,3 years ago
1581,5,Pittsburgh,3 years ago
1582,5,"Bolton, CT",3 years ago
1583,5,"Elk Grove Vlg, IL",3 years ago
1584,5,Miami,3 years ago
1585,5,Canada,3 years ago
1586,5,"Concord , NC",3 years ago
1587,5,"Atlanta, GA",3 years ago
1588,5,"St Paul, MN",3 years ago
1589,5,"Houston, TX",3 years ago
1590,3,"San Francisco, CA",3 years ago
1591,5,Saddle River,3 years ago
1592,5,"Pasco, WA",3 years ago
1593,2,"Fort Collins, CO",3 years ago
1594,5,"Booneville , KY",3 years ago
1595,4,"Albany, NY",3 years ago
1596,5,"philadelphia, PA",3 years ago
1597,5,"Madison, WI",3 years ago
1598,4,levittown,3 years ago
1599,5,"San Diego, CA",3 years ago
1600,3,"San Francisco, CA",3 years ago
1601,5,Saddle River,3 years ago
1602,5,"Pasco, WA",3 years ago
1603,2,"Fort Collins, CO",3 years ago
1604,5,"Booneville , KY",3 years ago
1605,4,"Albany, NY",3 years ago
1606,5,"philadelphia, PA",3 years ago
1607,5,"Madison, WI",3 years ago
1608,4,levittown,3 years ago
1609,5,"San Diego, CA",3 years ago
1610,5,"North Bergen, NJ",3 years ago
1611,5,United States,3 years ago
1612,5,"Prescott, Arizona",3 years ago
1613,4,"Eureka, CA",3 years ago
1614,4,"Huntsville, AL",3 years ago
1615,5,United States,3 years ago
1616,5,"New Albany, OH",3 years ago
1617,4,"Columbia, SC",3 years ago
1618,5,Federal Way,3 years ago
1619,5,"Vancouver, WA",3 years ago
1620,5,Laval,3 years ago
1621,5,"Fort smith, AR",3 years ago
1622,3,"Mason, OH",3 years ago
1623,5,"Olathe, KS",3 years ago
1624,5,"Wallington , NJ",3 years ago
1625,5,"Albrightsvlle, PA",3 years ago
1626,5,Rolling Prairie,3 years ago
1627,3,"Pickering, ON",3 years ago
1628,5,"Oceanside , NY",3 years ago
1629,5,"San Francisco , CA",3 years ago
1630,5,Laval,3 years ago
1631,5,"Fort smith, AR",3 years ago
1632,3,"Mason, OH",3 years ago
1633,5,"Olathe, KS",3 years ago
1634,5,"Wallington , NJ",3 years ago
1635,5,"Albrightsvlle, PA",3 years ago
1636,5,Rolling Prairie,3 years ago
1637,3,"Pickering, ON",3 years ago
1638,5,"Oceanside , NY",3 years ago
1639,5,"San Francisco , CA",3 years ago
1640,5,"Fayetteville, NC",3 years ago
1641,5,maple,3 years ago
1642,5,Florida,3 years ago
1643,5,"Las Vegas, NV",3 years ago
1644,5,franc,3 years ago
1645,1,texas,3 years ago
1646,5,Powell Ohio,3 years ago
1647,5,"New Rochelle, NY",3 years ago
1648,5,Dallas Texas,3 years ago
1649,5,"Dallas, Texas",3 years ago
1650,5,Canada,4 years ago
1651,3,USA,4 years ago
1652,5,USA,4 years ago
1653,5,USA,4 years ago
1654,4,USA,4 years ago
1655,5,USA,4 years ago
1656,4,USA,4 years ago
1657,5,USA,4 years ago
1658,5,USA,4 years ago
1659,5,USA,4 years ago
1660,3,USA,4 years ago
1661,5,USA,4 years ago
1662,5,USA,4 years ago
1663,5,Canada,4 years ago
1664,5,USA,4 years ago
1665,5,USA,4 years ago
1666,5,USA,4 years ago
1667,5,USA,4 years ago
1668,5,USA,4 years ago
1669,5,USA,4 years ago
1670,5,Canada,4 years ago
1671,5,USA,4 years ago
1672,3,USA,4 years ago
1673,3,USA,4 years ago
1674,5,Trinidad and Tobago,4 years ago
1675,5,USA,4 years ago
1676,5,USA,4 years ago
1677,5,USA,4 years ago
1678,5,USA,4 years ago
1679,3,USA,4 years ago
1680,5,Canada,4 years ago
1681,5,USA,4 years ago
1682,3,USA,4 years ago
1683,3,USA,4 years ago
1684,5,Trinidad and Tobago,4 years ago
1685,5,USA,4 years ago
1686,5,USA,4 years ago
1687,5,USA,4 years ago
1688,5,USA,4 years ago
1689,3,USA,4 years ago
1690,5,USA,4 years ago
1691,5,USA,4 years ago
1692,3,USA,4 years ago
1693,5,USA,4 years ago
1694,4,Venezuela,4 years ago
1695,5,USA,4 years ago
1696,4,USA,4 years ago
1697,5,USA,4 years ago
1698,4,USA,4 years ago
1699,5,USA,4 years ago
1700,5,Canada,4 years ago
1701,5,USA,4 years ago
1702,5,USA,4 years ago
1703,3,USA,4 years ago
1704,5,USA,4 years ago
1705,5,USA,4 years ago
1706,4,USA,4 years ago
1707,4,USA,4 years ago
1708,5,USA,4 years ago
1709,5,Lebanon,4 years ago
1710,5,Canada,4 years ago
1711,5,USA,4 years ago
1712,5,USA,4 years ago
1713,3,USA,4 years ago
1714,5,USA,4 years ago
1715,5,USA,4 years ago
1716,4,USA,4 years ago
1717,4,USA,4 years ago
1718,5,USA,4 years ago
1719,5,Lebanon,4 years ago
1720,5,USA,4 years ago
1721,5,Canada,4 years ago
1722,4,USA,4 years ago
1723,4,USA,4 years ago
1724,5,USA,4 years ago
1725,5,Australia,4 years ago
1726,5,USA,4 years ago
1727,4,USA,4 years ago
1728,5,USA,4 years ago
1729,5,USA,4 years ago
1730,5,USA,4 years ago
1731,5,USA,4 years ago
1732,2,USA,4 years ago
1733,5,USA,4 years ago
1734,5,USA,4 years ago
1735,5,USA,4 years ago
1736,3,USA,4 years ago
1737,5,USA,4 years ago
1738,4,USA,4 years ago
1739,4,USA,4 years ago
1740,5,USA,4 years ago
1741,5,USA,4 years ago
1742,2,USA,4 years ago
1743,5,USA,4 years ago
1744,5,USA,4 years ago
1745,5,USA,4 years ago
1746,3,USA,4 years ago
1747,5,USA,4 years ago
1748,4,USA,4 years ago
1749,4,USA,4 years ago
1750,5,Canada,4 years ago
1751,4,USA,4 years ago
1752,5,USA,4 years ago
1753,5,USA,4 years ago
1754,5,USA,4 years ago
1755,3,USA,4 years ago
1756,5,USA,4 years ago
1757,5,Canada,4 years ago
1758,4,USA,4 years ago
1759,5,USA,4 years ago
1760,5,USA,4 years ago
1761,5,USA,4 years ago
1762,5,USA,4 years ago
1763,5,USA,4 years ago
1764,5,USA,4 years ago
1765,4,Dominican Republic,4 years ago
1766,5,USA,4 years ago
1767,4,USA,4 years ago
1768,5,USA,4 years ago
1769,5,USA,4 years ago
1770,5,USA,4 years ago
1771,5,USA,4 years ago
1772,5,USA,4 years ago
1773,5,USA,4 years ago
1774,5,USA,4 years ago
1775,4,Dominican Republic,4 years ago
1776,5,USA,4 years ago
1777,4,USA,4 years ago
1778,5,USA,4 years ago
1779,5,USA,4 years ago
1780,5,USA,4 years ago
1781,5,USA,4 years ago
1782,5,USA,4 years ago
1783,5,USA,4 years ago
1784,3,USA,4 years ago
1785,5,USA,4 years ago
1786,2,USA,4 years ago
1787,5,USA,4 years ago
1788,5,Canada,4 years ago
1789,4,USA,4 years ago
1790,4,Sweden,4 years ago
1791,5,USA,4 years ago
1792,5,USA,4 years ago
1793,5,USA,4 years ago
1794,5,USA,4 years ago
1795,5,USA,4 years ago
1796,5,USA,4 years ago
1797,4,USA,4 years ago
1798,5,Canada,4 years ago
1799,5,USA,4 years ago
1800,5,USA,4 years ago
1801,5,Canada,4 years ago
1802,5,USA,4 years ago
1803,3,USA,4 years ago
1804,5,Canada,4 years ago
1805,5,United Kingdom,4 years ago
1806,5,USA,4 years ago
1807,4,USA,4 years ago
1808,5,USA,4 years ago
1809,5,USA,4 years ago
1810,5,USA,4 years ago
1811,5,USA,4 years ago
1812,5,USA,4 years ago
1813,5,USA,4 years ago
1814,5,Honduras,4 years ago
1815,5,USA,4 years ago
1816,5,Canada,4 years ago
1817,5,Canada,4 years ago
1818,5,USA,4 years ago
1819,5,USA,4 years ago
1820,5,USA,4 years ago
1821,5,USA,4 years ago
1822,5,USA,4 years ago
1823,5,USA,4 years ago
1824,5,Honduras,4 years ago
1825,5,USA,4 years ago
1826,5,Canada,4 years ago
1827,5,Canada,4 years ago
1828,5,USA,4 years ago
1829,5,USA,4 years ago
1830,5,USA,4 years ago
1831,4,USA,4 years ago
1832,5,USA,4 years ago
1833,5,Canada,4 years ago
1834,5,USA,4 years ago
1835,2,Canada,4 years ago
1836,5,Canada,4 years ago
1837,5,USA,4 years ago
1838,5,USA,4 years ago
1839,5,USA,4 years ago
1840,2,USA,4 years ago
1841,5,USA,4 years ago
1842,5,USA,4 years ago
1843,5,USA,4 years ago
1844,5,USA,4 years ago
1845,5,USA,4 years ago
1846,5,USA,4 years ago
1847,4,USA,4 years ago
1848,4,USA,4 years ago
1849,5,USA,4 years ago
1850,5,Canada,4 years ago
1851,5,USA,4 years ago
1852,5,USA,4 years ago
1853,5,USA,4 years ago
1854,5,USA,4 years ago
1855,5,USA,4 years ago
1856,5,USA,4 years ago
1857,5,USA,4 years ago
1858,4,Canada,4 years ago
1859,5,USA,4 years ago
1860,5,Canada,4 years ago
1861,5,USA,4 years ago
1862,5,USA,4 years ago
1863,5,USA,4 years ago
1864,5,USA,4 years ago
1865,5,USA,4 years ago
1866,5,USA,4 years ago
1867,5,USA,4 years ago
1868,4,Canada,4 years ago
1869,5,USA,4 years ago
1870,5,USA,4 years ago
1871,4,USA,4 years ago
1872,5,Canada,4 years ago
1873,5,USA,4 years ago
1874,5,USA,4 years ago
1875,4,USA,4 years ago
1876,5,USA,4 years ago
1877,5,USA,4 years ago
1878,5,USA,4 years ago
1879,4,USA,4 years ago
1880,5,USA,4 years ago
1881,5,USA,4 years ago
1882,5,USA,4 years ago
1883,5,USA,4 years ago
1884,4,USA,4 years ago
1885,5,USA,4 years ago
1886,2,USA,4 years ago
1887,5,USA,4 years ago
1888,5,USA,4 years ago
1889,4,USA,4 years ago
1890,5,USA,4 years ago
1891,4,USA,4 years ago
1892,5,Canada,4 years ago
1893,5,USA,4 years ago
1894,3,USA,4 years ago
1895,4,USA,4 years ago
1896,5,USA,4 years ago
1897,4,USA,4 years ago
1898,5,USA,4 years ago
1899,5,USA,4 years ago
1900,5,USA,4 years ago
1901,4,USA,4 years ago
1902,5,USA,4 years ago
1903,5,USA,4 years ago
1904,5,USA,4 years ago
1905,4,USA,4 years ago
1906,5,USA,4 years ago
1907,5,USA,4 years ago
1908,5,USA,4 years ago
1909,1,USA,4 years ago
1910,5,USA,4 years ago
1911,5,USA,4 years ago
1912,5,USA,4 years ago
1913,5,USA,4 years ago
1914,5,United Kingdom,4 years ago
1915,5,USA,4 years ago
1916,5,USA,4 years ago
1917,5,USA,4 years ago
1918,5,Canada,4 years ago
1919,5,USA,4 years ago
1920,5,USA,4 years ago
1921,5,USA,4 years ago
1922,5,USA,4 years ago
1923,5,USA,4 years ago
1924,5,United Kingdom,4 years ago
1925,5,USA,4 years ago
1926,5,USA,4 years ago
1927,5,USA,4 years ago
1928,5,Canada,4 years ago
1929,5,USA,4 years ago
1930,5,USA,4 years ago
1931,5,USA,4 years ago
1932,2,USA,4 years ago
1933,5,USA,4 years ago
1934,5,USA,4 years ago
1935,5,USA,4 years ago
1936,5,USA,4 years ago
1937,4,USA,4 years ago
1938,5,USA,4 years ago
1939,5,USA,4 years ago
1940,5,USA,4 years ago
1941,5,USA,4 years ago
1942,4,USA,4 years ago
1943,5,USA,4 years ago
1944,5,USA,4 years ago
1945,5,USA,4 years ago
1946,5,USA,4 years ago
1947,5,USA,4 years ago
1948,5,USA,4 years ago
1949,5,USA,4 years ago
1950,5,USA,4 years ago
1951,5,USA,4 years ago
1952,5,USA,4 years ago
1953,4,USA,4 years ago
1954,5,USA,4 years ago
1955,5,USA,4 years ago
1956,5,USA,4 years ago
1957,5,USA,4 years ago
1958,5,USA,4 years ago
1959,5,USA,4 years ago
1960,5,USA,4 years ago
1961,4,USA,4 years ago
1962,5,Canada,4 years ago
1963,5,USA,4 years ago
1964,5,USA,4 years ago
1965,5,USA,4 years ago
1966,5,USA,4 years ago
1967,5,USA,4 years ago
1968,5,USA,4 years ago
1969,4,USA,4 years ago
1970,5,Mexico,4 years ago
1971,4,USA,4 years ago
1972,5,USA,4 years ago
1973,5,USA,4 years ago
1974,5,USA,4 years ago
1975,3,USA,4 years ago
1976,5,USA,4 years ago
1977,4,USA,4 years ago
1978,5,USA,4 years ago
1979,5,USA,4 years ago
1980,5,USA,4 years ago
1981,5,USA,4 years ago
1982,5,USA,4 years ago
1983,5,USA,4 years ago
1984,4,USA,4 years ago
1985,5,USA,4 years ago
1986,5,USA,4 years ago
1987,5,USA,4 years ago
1988,5,USA,4 years ago
1989,5,USA,4 years ago
1990,4,USA,4 years ago
1991,5,USA,4 years ago
1992,5,USA,4 years ago
1993,5,USA,4 years ago
1994,5,USA,4 years ago
1995,4,USA,4 years ago
1996,5,USA,4 years ago
1997,5,USA,4 years ago
1998,5,USA,4 years ago
1999,5,USA,4 years ago
2000,4,USA,4 years ago
2001,5,USA,4 years ago
2002,5,USA,4 years ago
2003,5,USA,4 years ago
2004,5,USA,4 years ago
2005,4,USA,4 years ago
2006,5,USA,4 years ago
2007,5,USA,4 years ago
2008,5,USA,4 years ago
2009,5,USA,4 years ago
2010,3,USA,4 years ago
2011,4,USA,4 years ago
2012,5,USA,4 years ago
2013,5,USA,4 years ago
2014,5,USA,4 years ago
2015,5,USA,4 years ago
2016,5,USA,4 years ago
2017,4,USA,4 years ago
2018,1,USA,4 years ago
2019,2,USA,4 years ago
2020,5,USA,4 years ago
2021,5,USA,4 years ago
2022,5,USA,4 years ago
2023,5,Dominican Republic,4 years ago
2024,5,USA,4 years ago
2025,5,USA,4 years ago
2026,5,USA,4 years ago
2027,5,USA,4 years ago
2028,5,USA,4 years ago
2029,5,USA,4 years ago
2030,5,USA,4 years ago
2031,5,USA,4 years ago
2032,5,USA,4 years ago
2033,5,USA,4 years ago
2034,3,USA,4 years ago
2035,4,USA,4 years ago
2036,5,USA,4 years ago
2037,5,USA,4 years ago
2038,5,USA,4 years ago
2039,4,USA,4 years ago
2040,5,Dominican Republic,4 years ago
2041,5,USA,4 years ago
2042,5,USA,4 years ago
2043,5,USA,4 years ago
2044,5,USA,4 years ago
2045,5,USA,4 years ago
2046,5,USA,4 years ago
2047,5,USA,4 years ago
2048,4,USA,4 years ago
2049,3,USA,4 years ago
2050,4,USA,4 years ago
2051,5,USA,4 years ago
2052,5,Morocco,4 years ago
2053,5,USA,4 years ago
2054,5,USA,4 years ago
2055,5,USA,4 years ago
2056,5,USA,4 years ago
2057,3,USA,4 years ago
2058,5,USA,4 years ago
2059,5,USA,4 years ago
2060,5,USA,4 years ago
2061,4,USA,4 years ago
2062,5,USA,4 years ago
2063,4,USA,4 years ago
2064,5,USA,4 years ago
2065,5,Trinidad and Tobago,4 years ago
2066,5,USA,4 years ago
2067,5,USA,4 years ago
2068,3,USA,4 years ago
2069,5,USA,4 years ago
2070,5,Dominican Republic,4 years ago
2071,2,USA,4 years ago
2072,2,USA,4 years ago
2073,4,USA,4 years ago
2074,4,USA,4 years ago
2075,5,USA,4 years ago
2076,5,USA,4 years ago
2077,5,Canada,4 years ago
2078,4,USA,4 years ago
2079,5,USA,4 years ago
2080,5,USA,4 years ago
2081,5,USA,4 years ago
2082,4,USA,4 years ago
2083,5,Germany,4 years ago
2084,5,USA,4 years ago
2085,2,USA,4 years ago
2086,5,USA,4 years ago
2087,4,USA,4 years ago
2088,5,USA,4 years ago
2089,5,USA,4 years ago
2090,5,USA,4 years ago
2091,4,USA,4 years ago
2092,5,USA,4 years ago
2093,5,USA,4 years ago
2094,5,USA,4 years ago
2095,5,USA,4 years ago
2096,3,USA,4 years ago
2097,5,USA,4 years ago
2098,5,USA,4 years ago
2099,4,USA,4 years ago
2100,5,USA,4 years ago
2101,4,USA,4 years ago
2102,5,USA,4 years ago
2103,5,USA,4 years ago
2104,5,USA,4 years ago
2105,5,USA,4 years ago
2106,3,USA,4 years ago
2107,5,USA,4 years ago
2108,5,USA,4 years ago
2109,4,USA,4 years ago
2110,5,USA,4 years ago
2111,5,USA,4 years ago
2112,5,USA,4 years ago
2113,3,USA,4 years ago
2114,5,USA,4 years ago
2115,4,USA,4 years ago
2116,5,USA,4 years ago
2117,5,USA,4 years ago
2118,5,USA,4 years ago
2119,5,USA,4 years ago
2120,5,USA,4 years ago
2121,5,USA,4 years ago
2122,5,USA,4 years ago
2123,3,USA,4 years ago
2124,5,USA,4 years ago
2125,4,USA,4 years ago
2126,5,USA,4 years ago
2127,5,USA,4 years ago
2128,5,USA,4 years ago
2129,5,USA,4 years ago
2130,5,USA,4 years ago
2131,5,USA,4 years ago
2132,3,USA,4 years ago
2133,5,USA,4 years ago
2134,4,USA,4 years ago
2135,5,USA,4 years ago
2136,3,USA,4 years ago
2137,3,USA,4 years ago
2138,5,USA,4 years ago
2139,5,USA,4 years ago
2140,5,USA,4 years ago
2141,5,USA,4 years ago
2142,5,Canada,4 years ago
2143,5,USA,4 years ago
2144,5,USA,4 years ago
2145,1,USA,4 years ago
2146,5,USA,4 years ago
2147,5,USA,4 years ago
2148,3,USA,4 years ago
2149,5,USA,4 years ago
2150,5,Canada,4 years ago
2151,5,USA,4 years ago
2152,5,USA,4 years ago
2153,5,USA,4 years ago
2154,5,USA,4 years ago
2155,5,USA,4 years ago
2156,5,USA,4 years ago
2157,5,USA,4 years ago
2158,5,USA,4 years ago
2159,5,Canada,4 years ago
2160,5,Canada,4 years ago
2161,5,USA,4 years ago
2162,5,USA,4 years ago
2163,5,USA,4 years ago
2164,5,USA,4 years ago
2165,5,USA,4 years ago
2166,5,USA,4 years ago
2167,5,USA,4 years ago
2168,5,USA,4 years ago
2169,5,Canada,4 years ago
2170,4,USA,4 years ago
2171,4,USA,4 years ago
2172,5,USA,4 years ago
2173,5,USA,4 years ago
2174,2,Canada,4 years ago
2175,5,USA,4 years ago
2176,2,USA,4 years ago
2177,5,United Arab Emirates,4 years ago
2178,5,USA,4 years ago
2179,3,USA,4 years ago
2180,5,USA,4 years ago
2181,4,USA,4 years ago
2182,5,USA,4 years ago
2183,5,USA,4 years ago
2184,3,USA,4 years ago
2185,4,USA,4 years ago
2186,5,USA,4 years ago
2187,5,USA,4 years ago
2188,5,USA,4 years ago
2189,5,USA,4 years ago
2190,5,USA,4 years ago
2191,5,USA,4 years ago
2192,5,USA,4 years ago
2193,5,USA,4 years ago
2194,5,USA,4 years ago
2195,5,USA,4 years ago
2196,4,USA,4 years ago
2197,5,USA,4 years ago
2198,3,USA,4 years ago
2199,5,USA,4 years ago
2200,4,USA,4 years ago
2201,5,USA,4 years ago
2202,4,USA,4 years ago
2203,4,USA,4 years ago
2204,5,USA,4 years ago
2205,4,Canada,4 years ago
2206,3,USA,4 years ago
2207,5,USA,4 years ago
2208,5,USA,4 years ago
2209,3,USA,4 years ago
2210,5,USA,4 years ago
2211,5,USA,4 years ago
2212,5,USA,4 years ago
2213,5,USA,4 years ago
2214,5,USA,4 years ago
2215,5,USA,4 years ago
2216,5,USA,4 years ago
2217,4,USA,4 years ago
2218,5,USA,4 years ago
2219,5,USA,4 years ago
2220,5,USA,4 years ago
2221,5,USA,4 years ago
2222,5,Canada,4 years ago
2223,3,USA,4 years ago
2224,4,USA,4 years ago
2225,4,USA,4 years ago
2226,5,USA,4 years ago
2227,5,USA,4 years ago
2228,5,USA,4 years ago
2229,2,USA,4 years ago
2230,5,USA,4 years ago
2231,5,USA,4 years ago
2232,5,USA,4 years ago
2233,5,USA,4 years ago
2234,5,USA,4 years ago
2235,5,USA,4 years ago
2236,5,USA,4 years ago
2237,5,USA,4 years ago
2238,5,USA,4 years ago
2239,5,USA,4 years ago
2240,5,USA,4 years ago
2241,5,USA,4 years ago
2242,5,USA,4 years ago
2243,5,USA,4 years ago
2244,5,USA,4 years ago
2245,5,USA,4 years ago
2246,5,USA,4 years ago
2247,5,USA,4 years ago
2248,5,USA,4 years ago
2249,5,USA,4 years ago
2250,5,USA,4 years ago
2251,5,USA,4 years ago
2252,5,Dominican Republic,4 years ago
2253,4,Canada,4 years ago
2254,3,USA,4 years ago
2255,5,USA,4 years ago
2256,5,USA,4 years ago
2257,4,USA,4 years ago
2258,5,USA,4 years ago
2259,5,USA,4 years ago
2260,5,Algeria,4 years ago
2261,4,USA,4 years ago
2262,4,USA,4 years ago
2263,5,Canada,4 years ago
2264,5,USA,4 years ago
2265,5,USA,4 years ago
2266,5,USA,4 years ago
2267,5,USA,4 years ago
2268,4,USA,4 years ago
2269,5,USA,4 years ago
2270,5,USA,4 years ago
2271,5,USA,4 years ago
2272,3,USA,4 years ago
2273,5,USA,4 years ago
2274,4,USA,4 years ago
2275,5,USA,4 years ago
2276,5,USA,4 years ago
2277,5,USA,4 years ago
2278,5,USA,4 years ago
2279,5,USA,4 years ago
2280,5,USA,4 years ago
2281,5,USA,4 years ago
2282,3,USA,4 years ago
2283,5,USA,4 years ago
2284,4,USA,4 years ago
2285,5,USA,4 years ago
2286,5,USA,4 years ago
2287,5,USA,4 years ago
2288,5,USA,4 years ago
2289,5,USA,4 years ago
2290,5,USA,4 years ago
2291,2,USA,4 years ago
2292,5,USA,4 years ago
2293,4,USA,4 years ago
2294,2,USA,4 years ago
2295,4,USA,4 years ago
2296,5,USA,4 years ago
2297,5,USA,4 years ago
2298,5,USA,4 years ago
2299,5,USA,4 years ago
2300,5,USA,4 years ago
2301,5,USA,4 years ago
2302,3,USA,4 years ago
2303,4,USA,4 years ago
2304,5,USA,4 years ago
2305,5,USA,4 years ago
2306,5,USA,4 years ago
2307,3,Canada,4 years ago
2308,4,USA,4 years ago
2309,5,USA,4 years ago
2310,5,USA,4 years ago
2311,5,USA,4 years ago
2312,5,USA,4 years ago
2313,5,USA,4 years ago
2314,4,USA,4 years ago
2315,5,USA,4 years ago
2316,5,USA,4 years ago
2317,5,USA,4 years ago
2318,4,USA,4 years ago
2319,2,USA,4 years ago
2320,5,USA,4 years ago
2321,5,USA,4 years ago
2322,4,USA,4 years ago
2323,5,USA,4 years ago
2324,5,Canada,4 years ago
2325,4,USA,4 years ago
2326,5,USA,4 years ago
2327,5,USA,4 years ago
2328,4,USA,4 years ago
2329,3,USA,4 years ago
2330,5,USA,4 years ago
2331,5,USA,4 years ago
2332,5,USA,4 years ago
2333,5,USA,4 years ago
2334,4,USA,4 years ago
2335,4,USA,4 years ago
2336,5,USA,4 years ago
2337,5,USA,4 years ago
2338,5,USA,4 years ago
2339,2,USA,4 years ago
2340,5,USA,4 years ago
2341,5,USA,4 years ago
2342,4,USA,4 years ago
2343,5,USA,4 years ago
2344,5,Canada,4 years ago
2345,5,USA,4 years ago
2346,5,USA,4 years ago
2347,5,USA,4 years ago
2348,5,USA,4 years ago
2349,4,USA,4 years ago
2350,5,USA,4 years ago
2351,5,USA,4 years ago
2352,5,USA,4 years ago
2353,5,USA,4 years ago
2354,5,USA,4 years ago
2355,5,USA,4 years ago
2356,5,USA,4 years ago
2357,4,USA,4 years ago
2358,1,USA,4 years ago
2359,4,USA,4 years ago
2360,5,USA,4 years ago
2361,5,USA,4 years ago
2362,5,USA,4 years ago
2363,5,USA,4 years ago
2364,5,USA,4 years ago
2365,5,USA,4 years ago
2366,5,USA,4 years ago
2367,4,USA,4 years ago
2368,1,USA,4 years ago
2369,4,USA,4 years ago
2370,5,USA,4 years ago
2371,5,USA,4 years ago
2372,5,USA,4 years ago
2373,4,USA,4 years ago
2374,4,USA,4 years ago
2375,5,USA,4 years ago
2376,5,USA,4 years ago
2377,5,USA,4 years ago
2378,3,USA,4 years ago
2379,5,USA,4 years ago
2380,4,USA,4 years ago
2381,5,USA,4 years ago
2382,5,USA,4 years ago
2383,5,USA,4 years ago
2384,5,USA,4 years ago
2385,5,USA,4 years ago
2386,1,USA,4 years ago
2387,4,USA,4 years ago
2388,5,USA,4 years ago
2389,5,USA,4 years ago
2390,5,USA,4 years ago
2391,5,USA,4 years ago
2392,5,Canada,4 years ago
2393,5,USA,4 years ago
2394,5,USA,4 years ago
2395,5,USA,4 years ago
2396,4,USA,4 years ago
2397,5,USA,4 years ago
2398,5,USA,4 years ago
2399,3,USA,4 years ago
2400,5,USA,4 years ago
2401,4,USA,4 years ago
2402,5,USA,4 years ago
2403,5,USA,4 years ago
2404,4,USA,4 years ago
2405,5,United Kingdom,4 years ago
2406,5,USA,4 years ago
2407,5,USA,4 years ago
2408,5,Canada,4 years ago
2409,5,USA,4 years ago
2410,5,USA,4 years ago
2411,5,USA,4 years ago
2412,5,USA,4 years ago
2413,5,Canada,4 years ago
2414,4,USA,4 years ago
2415,4,Canada,4 years ago
2416,2,USA,4 years ago
2417,5,USA,4 years ago
2418,5,USA,4 years ago
2419,4,USA,4 years ago
2420,5,USA,4 years ago
2421,2,USA,4 years ago
2422,3,USA,4 years ago
2423,5,USA,4 years ago
2424,5,USA,4 years ago
2425,5,USA,4 years ago
2426,5,USA,4 years ago
2427,4,Canada,4 years ago
2428,5,USA,4 years ago
2429,5,USA,4 years ago
2430,1,USA,5 years ago
2431,5,USA,5 years ago
2432,4,USA,5 years ago
2433,5,USA,5 years ago
2434,5,USA,5 years ago
2435,4,USA,5 years ago
2436,5,USA,5 years ago
2437,5,USA,5 years ago
2438,4,USA,5 years ago
2439,2,USA,5 years ago
2440,5,USA,5 years ago
2441,5,USA,5 years ago
2442,5,USA,5 years ago
2443,5,USA,5 years ago
2444,5,USA,5 years ago
2445,1,USA,5 years ago
2446,1,USA,5 years ago
2447,5,USA,5 years ago
2448,4,USA,5 years ago
2449,5,USA,5 years ago
2450,5,USA,5 years ago
2451,4,USA,5 years ago
2452,5,USA,5 years ago
2453,5,USA,5 years ago
2454,5,USA,5 years ago
2455,3,USA,5 years ago
2456,5,USA,5 years ago
2457,5,USA,5 years ago
2458,4,USA,5 years ago
2459,5,USA,5 years ago
2460,5,USA,5 years ago
2461,5,USA,5 years ago
2462,5,USA,5 years ago
2463,4,USA,5 years ago
2464,5,Colombia,5 years ago
2465,5,USA,5 years ago
2466,5,USA,5 years ago
2467,5,Venezuela,5 years ago
2468,5,USA,5 years ago
2469,5,USA,5 years ago
2470,5,USA,5 years ago
2471,5,USA,5 years ago
2472,4,USA,5 years ago
2473,5,USA,5 years ago
2474,4,USA,5 years ago
2475,5,USA,5 years ago
2476,5,USA,5 years ago
2477,3,USA,5 years ago
2478,5,USA,5 years ago
2479,5,USA,5 years ago
2480,5,USA,5 years ago
2481,5,Jamaica,5 years ago
2482,5,Dominican Republic,5 years ago
2483,3,USA,5 years ago
2484,4,USA,5 years ago
2485,5,USA,5 years ago
2486,4,USA,5 years ago
2487,3,USA,5 years ago
2488,5,USA,5 years ago
2489,5,USA,5 years ago
2490,5,USA,5 years ago
2491,5,USA,5 years ago
2492,5,USA,5 years ago
2493,5,USA,5 years ago
